# Rank    Emoji    Category    Subcategory    Name
1    😂    Smileys & Emotion    face-smiling    face with tears of joy
2    ❤️    Smileys & Emotion    emotion    red heart
3    🤣    Smileys & Emotion    face-smiling    rolling on the floor laughing
4    👍    People & Body    hand-fingers-closed    thumbs up
5    😭    Smileys & Emotion    face-concerned    loudly crying face
6    🙏    People & Body    hands    folded hands
7    😘    Smileys & Emotion    face-affection    face blowing a kiss
8    🥰    Smileys & Emotion    face-affection    smiling face with hearts
9    😍    Smileys & Emotion    face-affection    smiling face with heart-eyes
10    😊    Smileys & Emotion    face-smiling    smiling face with smiling eyes
11    🎉    Activities    event    party popper
12    😁    Smileys & Emotion    face-smiling    beaming face with smiling eyes
13    💕    Smileys & Emotion    emotion    two hearts
14    🥺    Smileys & Emotion    face-concerned    pleading face
15    😅    Smileys & Emotion    face-smiling    grinning face with sweat
16    🔥    Travel & Places    sky & weather    fire
17    ☺️    Smileys & Emotion    face-affection    smiling face
18    🤦    People & Body    person-gesture    person facepalming
19    ♥️    Activities    game    heart suit
20    🤷    People & Body    person-gesture    person shrugging
21    🙄    Smileys & Emotion    face-neutral-skeptical    face with rolling eyes
22    😆    Smileys & Emotion    face-smiling    grinning squinting face
23    🤗    Smileys & Emotion    face-hand    hugging face
24    😉    Smileys & Emotion    face-smiling    winking face
25    🎂    Food & Drink    food-sweet    birthday cake
26    🤔    Smileys & Emotion    face-hand    thinking face
27    👏    People & Body    hands    clapping hands
28    🙂    Smileys & Emotion    face-smiling    slightly smiling face
29    😳    Smileys & Emotion    face-concerned    flushed face
30    🥳    Smileys & Emotion    face-hat    partying face
31    😎    Smileys & Emotion    face-glasses    smiling face with sunglasses
32    👌    People & Body    hand-fingers-partial    OK hand
33    💜    Smileys & Emotion    emotion    purple heart
34    😔    Smileys & Emotion    face-sleepy    pensive face
35    💪    People & Body    body-parts    flexed biceps
36    ✨    Activities    event    sparkles
37    💖    Smileys & Emotion    emotion    sparkling heart
38    👀    People & Body    body-parts    eyes
39    😋    Smileys & Emotion    face-tongue    face savoring food
40    😏    Smileys & Emotion    face-neutral-skeptical    smirking face
41    😢    Smileys & Emotion    face-concerned    crying face
42    👉    People & Body    hand-single-finger    backhand index pointing right
43    💗    Smileys & Emotion    emotion    growing heart
44    😩    Smileys & Emotion    face-concerned    weary face
45    💯    Smileys & Emotion    emotion    hundred points
46    🌹    Animals & Nature    plant-flower    rose
47    💞    Smileys & Emotion    emotion    revolving hearts
48    🎈    Activities    event    balloon
49    💙    Smileys & Emotion    emotion    blue heart
50    😃    Smileys & Emotion    face-smiling    grinning face with big eyes
51    😡    Smileys & Emotion    face-negative    pouting face
52    💐    Animals & Nature    plant-flower    bouquet
53    😜    Smileys & Emotion    face-tongue    winking face with tongue
54    🙈    Smileys & Emotion    monkey-face    see-no-evil monkey
55    🤞    People & Body    hand-fingers-partial    crossed fingers
56    😄    Smileys & Emotion    face-smiling    grinning face with smiling eyes
57    🤤    Smileys & Emotion    face-sleepy    drooling face
